abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
NJ,New Jersey,429.0,534.0,1142.0,228.0,5870.0,942.0,2794.0,1654.0,874.0,10709.0,3319.0,299.0,27.0,2120.0,1088.0,111.0,399.0,461.0,875.0,445.0,3588.0,4174.0,1496.0,672.0,272.0,660.0,179.0,145.0,554.0,394.0,N/A,414.0,46887.0,3700.0,137.0,1429.0,367.0,567.0,21714.0,512.0,1787.0,195.0,1307.0,4062.0,235.0,337.0,4363.0,1073.0,415.0,602.0,58.0
NM,New Mexico,384.0,612.0,6272.0,269.0,5168.0,4718.0,636.0,104.0,53.0,2618.0,598.0,427.0,345.0,1149.0,522.0,153.0,439.0,234.0,509.0,574.0,921.0,1006.0,1944.0,814.0,413.0,1384.0,204.0,338.0,832.0,674.0,878.0,N/A,2192.0,679.0,9.0,922.0,1643.0,997.0,1520.0,34.0,675.0,301.0,649.0,14283.0,1247.0,196.0,1546.0,1389.0,85.0,994.0,260.0
NY,New York,1150.0,2836.0,5449.0,565.0,23253.0,3385.0,14131.0,1198.0,3804.0,25949.0,6986.0,1117.0,413.0,7999.0,1902.0,666.0,1146.0,1278.0,1495.0,1402.0,7137.0,15808.0,3803.0,1365.0,962.0,2597.0,249.0,135.0,1361.0,2095.0,35082.0,989.0,N/A,10023.0,205.0,5710.0,1347.0,1625.0,23119.0,2136.0,5441.0,178.0,2291.0,11782.0,1291.0,2670.0,9669.0,3504.0,936.0,1743.0,295.0
NC,North Carolina,4093.0,2362.0,4276.0,979.0,16105.0,4558.0,10522.0,1304.0,1953.0,26531.0,18655.0,2088.0,720.0,7139.0,3492.0,1297.0,1900.0,3283.0,1613.0,2678.0,9950.0,9306.0,12358.0,4372.0,1414.0,2696.0,398.0,790.0,1812.0,2548.0,21950.0,1040.0,47206.0,N/A,443.0,9067.0,1481.0,1237.0,25094.0,1534.0,26190.0,723.0,7678.0,12699.0,1065.0,1188.0,29998.0,3717.0,3497.0,4066.0,379.0
ND,North Dakota,242.0,204.0,1067.0,108.0,1804.0,937.0,162.0,0.0,26.0,928.0,289.0,99.0,380.0,726.0,187.0,720.0,214.0,91.0,194.0,24.0,129.0,92.0,1660.0,28636.0,314.0,1308.0,1770.0,587.0,402.0,256.0,402.0,140.0,1008.0,165.0,N/A,484.0,221.0,483.0,520.0,82.0,132.0,2014.0,389.0,2227.0,228.0,414.0,262.0,1119.0,59.0,1088.0,615.0
OH,Ohio,2302.0,1053.0,3438.0,1111.0,9764.0,3563.0,2908.0,514.0,775.0,14813.0,5106.0,583.0,388.0,9942.0,12156.0,1109.0,1252.0,14154.0,1606.0,1158.0,3585.0,5714.0,29282.0,3558.0,994.0,2608.0,423.0,632.0,1542.0,2090.0,8008.0,937.0,18294.0,7974.0,283.0,N/A,1242.0,1227.0,29254.0,1222.0,2293.0,109.0,5335.0,9406.0,1037.0,542.0,6201.0,3284.0,9225.0,4098.0,130.0
OK,Oklahoma,784.0,900.0,2894.0,7430.0,8967.0,4423.0,412.0,249.0,237.0,3689.0,2303.0,439.0,548.0,2056.0,1449.0,1290.0,7538.0,1234.0,2093.0,372.0,901.0,1238.0,4010.0,1742.0,1218.0,5094.0,406.0,680.0,883.0,566.0,1510.0,1277.0,4024.0,2094.0,386.0,1372.0,N/A,625.0,2372.0,378.0,985.0,236.0,1870.0,27197.0,1320.0,202.0,1595.0,1744.0,411.0,2014.0,307.0
OR,Oregon,358.0,2307.0,7207.0,581.0,35839.0,4474.0,1164.0,175.0,544.0,2601.0,950.0,2833.0,5909.0,1767.0,975.0,660.0,848.0,392.0,907.0,514.0,838.0,2684.0,2138.0,3862.0,523.0,800.0,2532.0,813.0,3337.0,466.0,1222.0,1517.0,4918.0,1597.0,547.0,1178.0,1372.0,N/A,3446.0,316.0,542.0,259.0,987.0,5756.0,3087.0,472.0,2002.0,24568.0,190.0,1816.0,1053.0
PA,Pennsylvania,1639.0,1169.0,2671.0,877.0,9232.0,2725.0,4748.0,5925.0,1873.0,14389.0,5287.0,467.0,468.0,3977.0,1703.0,667.0,984.0,1491.0,914.0,1135.0,18234.0,6386.0,3243.0,1250.0,320.0,1555.0,315.0,326.0,1037.0,1103.0,37986.0,599.0,33774.0,7932.0,252.0,12449.0,1085.0,1233.0,N/A,970.0,3014.0,246.0,2707.0,8780.0,1616.0,758.0,11467.0,2290.0,4798.0,1521.0,351.0
RI,Rhode Island,149.0,45.0,224.0,34.0,1750.0,260.0,3442.0,79.0,92.0,2645.0,560.0,63.0,58.0,386.0,29.0,72.0,78.0,153.0,251.0,363.0,751.0,10594.0,369.0,229.0,142.0,139.0,18.0,194.0,53.0,859.0,1272.0,9.0,3280.0,897.0,16.0,250.0,13.0,134.0,1016.0,N/A,493.0,21.0,310.0,861.0,101.0,225.0,764.0,291.0,17.0,74.0,6.0
