abbrev,state,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total_imm,total_emm
ID,Idaho,302.0,559.0,3273.0,73.0,5528.0,2018.0,80.0,19.0,67.0,1104.0,650.0,410.0,N/A,724.0,419.0,360.0,175.0,185.0,182.0,172.0,192.0,654.0,1498.0,936.0,473.0,756.0,2656.0,353.0,2325.0,64.0,54.0,345.0,826.0,720.0,380.0,388.0,548.0,5909.0,936.0,116.0,450.0,98.0,876.0,2087.0,6946.0,112.0,467.0,10706.0,88.0,862.0,1068.0,68794.0,60189.0
IL,Illinois,2710.0,716.0,10797.0,3137.0,22182.0,9166.0,3400.0,450.0,1371.0,22691.0,8044.0,1341.0,993.0,N/A,32174.0,13740.0,2254.0,5431.0,2384.0,694.0,2368.0,7216.0,26458.0,15518.0,2723.0,24033.0,822.0,2145.0,3191.0,1188.0,4240.0,1149.0,15998.0,7139.0,726.0,9942.0,2056.0,1767.0,7954.0,772.0,3030.0,461.0,8718.0,22709.0,1261.0,504.0,6770.0,5763.0,303.0,54260.0,521.0,263954.0,385380.0
IN,Indiana,1363.0,300.0,3637.0,752.0,7057.0,2920.0,752.0,78.0,577.0,13672.0,4496.0,702.0,161.0,16302.0,N/A,2278.0,949.0,11150.0,604.0,196.0,1218.0,1820.0,21446.0,3408.0,812.0,3708.0,489.0,373.0,908.0,676.0,2176.0,522.0,3804.0,3492.0,187.0,12156.0,1449.0,975.0,3406.0,58.0,2728.0,443.0,5833.0,8736.0,731.0,94.0,2700.0,1561.0,586.0,4978.0,296.0,162963.0,159715.0
IA,Iowa,422.0,84.0,2780.0,673.0,2889.0,3113.0,240.0,26.0,102.0,4288.0,1567.0,314.0,285.0,8502.0,1467.0,N/A,1862.0,846.0,600.0,598.0,593.0,704.0,1988.0,13254.0,221.0,5256.0,290.0,6634.0,722.0,194.0,222.0,153.0,1332.0,1297.0,720.0,1109.0,1290.0,660.0,1334.0,144.0,461.0,2845.0,895.0,5805.0,725.0,182.0,688.0,1341.0,37.0,9416.0,259.0,95319.0,91429.0
KS,Kansas,931.0,747.0,2446.0,1475.0,4336.0,5483.0,308.0,55.0,62.0,3429.0,2353.0,583.0,489.0,1837.0,1338.0,1593.0,N/A,1086.0,686.0,702.0,957.0,926.0,2562.0,2134.0,243.0,20448.0,364.0,2827.0,751.0,338.0,798.0,439.0,2292.0,1900.0,214.0,1252.0,7538.0,848.0,1968.0,156.0,854.0,613.0,1932.0,10805.0,495.0,32.0,1559.0,2234.0,60.0,1280.0,284.0,96886.0,99042.0
KY,Kentucky,2473.0,477.0,1850.0,1111.0,3801.0,2010.0,402.0,85.0,211.0,7969.0,4486.0,346.0,300.0,3142.0,10285.0,590.0,1004.0,N/A,1158.0,692.0,709.0,966.0,5522.0,538.0,807.0,1987.0,157.0,365.0,1014.0,466.0,922.0,234.0,2556.0,3283.0,91.0,14154.0,1234.0,392.0,2982.0,306.0,2167.0,46.0,11856.0,5935.0,274.0,570.0,3588.0,1381.0,2025.0,1536.0,115.0,122206.0,110570.0
LA,Louisiana,2102.0,341.0,1220.0,3382.0,5064.0,3280.0,734.0,74.0,482.0,5493.0,5089.0,491.0,194.0,1804.0,721.0,510.0,917.0,782.0,N/A,742.0,607.0,1398.0,2310.0,1164.0,8144.0,1642.0,200.0,358.0,326.0,390.0,1750.0,509.0,2990.0,1613.0,194.0,1606.0,2093.0,907.0,1828.0,502.0,1742.0,106.0,3162.0,27908.0,463.0,46.0,2206.0,1006.0,72.0,1002.0,279.0,97597.0,101945.0
ME,Maine,60.0,69.0,703.0,19.0,1348.0,252.0,1015.0,139.0,155.0,4526.0,542.0,348.0,80.0,573.0,367.0,135.0,136.0,308.0,77.0,N/A,286.0,3973.0,336.0,130.0,64.0,462.0,117.0,165.0,163.0,4290.0,445.0,287.0,1402.0,1339.0,12.0,579.0,186.0,257.0,1135.0,363.0,1364.0,0.0,1059.0,1270.0,199.0,782.0,1048.0,554.0,133.0,289.0,180.0,33183.0,33721.0
MD,Maryland,1449.0,375.0,2092.0,268.0,9115.0,2793.0,3226.0,6822.0,13009.0,14282.0,5045.0,1267.0,192.0,2280.0,1189.0,464.0,693.0,1551.0,877.0,770.0,N/A,6514.0,3236.0,1948.0,464.0,1544.0,179.0,409.0,972.0,1120.0,7176.0,921.0,14274.0,9950.0,129.0,3585.0,901.0,838.0,36468.0,1502.0,4612.0,100.0,1883.0,9052.0,556.0,1070.0,27162.0,2459.0,6502.0,1458.0,118.0,201197.0,214861.0
MA,Massachusetts,782.0,222.0,2438.0,198.0,13294.0,2880.0,8400.0,496.0,1868.0,17764.0,3832.0,679.0,259.0,3625.0,1029.0,380.0,515.0,591.0,754.0,5216.0,3300.0,N/A,2424.0,1001.0,349.0,1167.0,266.0,307.0,578.0,18121.0,4174.0,503.0,15808.0,4653.0,46.0,2857.0,619.0,1342.0,6386.0,10594.0,2516.0,103.0,2156.0,5995.0,1300.0,3596.0,4606.0,2880.0,126.0,719.0,153.0,140877.0,163867.0
MI,Michigan,2469.0,431.0,8246.0,1158.0,9883.0,3450.0,622.0,156.0,788.0,22300.0,7423.0,515.0,450.0,11798.0,10138.0,982.0,1009.0,4031.0,1516.0,191.0,1843.0,1492.0,N/A,2214.0,1662.0,2718.0,618.0,647.0,1746.0,376.0,1496.0,972.0,3803.0,6179.0,830.0,14641.0,2005.0,1069.0,3243.0,369.0,3350.0,275.0,5395.0,10426.0,1191.0,252.0,3262.0,3115.0,721.0,5127.0,403.0,144849.0,168996.0
MN,Minnesota,406.0,307.0,6286.0,369.0,8020.0,3930.0,630.0,212.0,355.0,5738.0,1882.0,402.0,566.0,4855.0,1540.0,8325.0,1269.0,748.0,530.0,185.0,876.0,1006.0,1996.0,N/A,212.0,2184.0,903.0,1682.0,1625.0,105.0,672.0,407.0,1365.0,2186.0,14318.0,1779.0,871.0,1931.0,1250.0,229.0,949.0,4456.0,1503.0,5786.0,625.0,74.0,2254.0,3037.0,127.0,18106.0,409.0,106736.0,119478.0
MS,Mississippi,6728.0,129.0,594.0,2887.0,2489.0,974.0,212.0,87.0,133.0,5413.0,4620.0,145.0,57.0,2054.0,1083.0,443.0,206.0,952.0,8037.0,36.0,744.0,508.0,2702.0,614.0,N/A,1583.0,233.0,189.0,475.0,336.0,544.0,413.0,1924.0,1414.0,314.0,994.0,1218.0,523.0,640.0,284.0,1175.0,40.0,9433.0,8989.0,648.0,30.0,1431.0,671.0,98.0,930.0,21.0,76022.0,76397.0
MO,Missouri,1773.0,919.0,4199.0,7463.0,7196.0,5442.0,988.0,218.0,315.0,10539.0,3438.0,634.0,687.0,14060.0,2873.0,4377.0,22329.0,2312.0,1425.0,570.0,828.0,1654.0,5006.0,3738.0,1275.0,N/A,522.0,1997.0,856.0,310.0,1320.0,1384.0,5194.0,2696.0,1308.0,2608.0,5094.0,800.0,3110.0,278.0,1745.0,288.0,3468.0,14383.0,1712.0,152.0,2642.0,2952.0,290.0,3084.0,410.0,174285.0,162861.0
MT,Montana,293.0,483.0,1672.0,281.0,2318.0,2006.0,38.0,33.0,28.0,826.0,275.0,120.0,2755.0,546.0,379.0,184.0,311.0,6.0,303.0,218.0,44.0,134.0,1154.0,1872.0,224.0,383.0,N/A,299.0,1035.0,194.0,358.0,204.0,498.0,398.0,1770.0,423.0,406.0,2532.0,630.0,36.0,174.0,487.0,300.0,1450.0,1555.0,418.0,305.0,4142.0,85.0,748.0,1479.0,41900.0,36812.0
NE,Nebraska,176.0,253.0,1899.0,348.0,2742.0,3663.0,16.0,74.0,247.0,1610.0,764.0,146.0,168.0,1285.0,370.0,7263.0,3211.0,607.0,271.0,134.0,276.0,574.0,1084.0,3020.0,418.0,3003.0,162.0,N/A,695.0,142.0,290.0,338.0,270.0,790.0,587.0,632.0,680.0,813.0,652.0,388.0,245.0,2226.0,535.0,4675.0,441.0,78.0,943.0,850.0,34.0,1014.0,951.0,53503.0,52053.0
NV,Nevada,523.0,743.0,7148.0,468.0,27651.0,3485.0,500.0,133.0,144.0,4106.0,2141.0,1322.0,2363.0,2029.0,1441.0,542.0,807.0,500.0,673.0,258.0,555.0,1112.0,3102.0,1640.0,422.0,1274.0,905.0,503.0,N/A,454.0,1108.0,832.0,2722.0,1812.0,402.0,1542.0,883.0,3337.0,2074.0,106.0,541.0,319.0,672.0,7949.0,5688.0,100.0,1118.0,4553.0,97.0,1818.0,359.0,138609.0,104976.0
NH,New Hampshire,97.0,122.0,537.0,61.0,1186.0,652.0,1311.0,117.0,129.0,4306.0,368.0,57.0,59.0,310.0,311.0,82.0,103.0,226.0,77.0,4383.0,421.0,11103.0,363.0,149.0,78.0,140.0,142.0,59.0,244.0,N/A,394.0,337.0,2095.0,1274.0,128.0,1045.0,283.0,233.0,1103.0,859.0,939.0,20.0,325.0,1430.0,199.0,2992.0,634.0,416.0,159.0,175.0,0.0,48517.0,42233.0
NJ,New Jersey,917.0,164.0,3159.0,239.0,12523.0,2325.0,5127.0,4832.0,1846.0,29208.0,5578.0,406.0,114.0,2903.0,1959.0,669.0,783.0,419.0,766.0,986.0,7300.0,6616.0,1790.0,811.0,846.0,1062.0,82.0,311.0,1093.0,710.0,N/A,439.0,35082.0,10975.0,201.0,4004.0,755.0,611.0,37986.0,1272.0,5318.0,22.0,1238.0,8451.0,697.0,982.0,9031.0,2474.0,873.0,812.0,72.0,136615.0,216839.0
NM,New Mexico,738.0,356.0,8080.0,430.0,5994.0,6184.0,470.0,199.0,163.0,2606.0,1175.0,340.0,788.0,1076.0,291.0,410.0,862.0,428.0,298.0,552.0,636.0,996.0,1694.0,1106.0,274.0,1040.0,334.0,706.0,2095.0,206.0,828.0,N/A,1978.0,1040.0,140.0,937.0,1277.0,1517.0,1198.0,18.0,581.0,188.0,339.0,17402.0,1172.0,140.0,1050.0,1493.0,113.0,912.0,563.0,64813.0,73413.0
NY,New York,2484.0,675.0,5964.0,1136.0,34469.0,7409.0,22683.0,3502.0,4277.0,59485.0,16455.0,2146.0,717.0,7882.0,2522.0,712.0,1362.0,3583.0,2448.0,2484.0,12269.0,20532.0,5521.0,2372.0,825.0,3073.0,251.0,542.0,3147.0,2942.0,46887.0,1096.0,N/A,23603.0,504.0,9147.0,2012.0,2459.0,33774.0,3280.0,9888.0,346.0,5164.0,21159.0,2366.0,3396.0,16455.0,5872.0,1091.0,1987.0,400.0,261672.0,424755.0
NC,North Carolina,4706.0,1345.0,3677.0,1309.0,12178.0,4680.0,3762.0,1084.0,1399.0,26387.0,17417.0,1962.0,705.0,4868.0,3348.0,1065.0,1785.0,3506.0,2663.0,1672.0,7485.0,6152.0,8054.0,3320.0,1477.0,3587.0,805.0,553.0,1274.0,1446.0,7400.0,679.0,20046.0,N/A,165.0,7974.0,2094.0,1597.0,15864.0,1794.0,28465.0,299.0,9494.0,16429.0,1293.0,828.0,22470.0,4544.0,2690.0,4232.0,207.0,361444.0,282235.0
ND,North Dakota,143.0,131.0,1255.0,41.0,1515.0,1403.0,52.0,114.0,25.0,626.0,212.0,0.0,555.0,392.0,370.0,761.0,262.0,48.0,174.0,84.0,110.0,112.0,1136.0,17642.0,42.0,605.0,1641.0,582.0,367.0,342.0,274.0,9.0,410.0,443.0,N/A,283.0,386.0,547.0,504.0,32.0,245.0,2067.0,225.0,1120.0,377.0,40.0,656.0,1052.0,70.0,1144.0,574.0,55608.0,41200.0
OH,Ohio,2548.0,798.0,5477.0,841.0,9476.0,4153.0,2176.0,215.0,601.0,25043.0,8565.0,584.0,488.0,8514.0,11367.0,1269.0,1280.0,15228.0,1566.0,1174.0,3187.0,3966.0,25936.0,4640.0,1239.0,3178.0,252.0,378.0,1270.0,758.0,2858.0,922.0,11420.0,9067.0,484.0,N/A,1372.0,1178.0,24898.0,500.0,6056.0,247.0,5858.0,11279.0,1511.0,474.0,6732.0,3089.0,7429.0,5006.0,332.0,248224.0,246879.0
OK,Oklahoma,745.0,518.0,3655.0,7733.0,6051.0,4936.0,394.0,95.0,106.0,3801.0,2229.0,708.0,405.0,1803.0,857.0,943.0,5991.0,735.0,1992.0,234.0,437.0,1084.0,1744.0,2122.0,872.0,5645.0,536.0,910.0,595.0,216.0,734.0,1643.0,2694.0,1481.0,221.0,1242.0,N/A,1372.0,2170.0,26.0,1109.0,278.0,2041.0,27155.0,1064.0,22.0,2066.0,2150.0,227.0,1856.0,421.0,117964.0,108064.0
OR,Oregon,336.0,1836.0,8107.0,361.0,20710.0,3176.0,564.0,29.0,164.0,2166.0,910.0,1301.0,4836.0,1368.0,990.0,460.0,702.0,489.0,786.0,436.0,491.0,1638.0,1372.0,2326.0,266.0,1922.0,1977.0,187.0,2557.0,378.0,1134.0,997.0,3250.0,1237.0,483.0,1227.0,625.0,N/A,2466.0,268.0,501.0,251.0,756.0,4020.0,2831.0,362.0,912.0,28571.0,100.0,1662.0,911.0,145843.0,115405.0
